name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source,image_path
Glaucoma-16,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-16.jpg
Glaucoma-17,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-17.jpg
Glaucoma-18,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-18.jpg
Glaucoma-19,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-19.jpg
Glaucoma-20,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-20.jpg
Glaucoma-21,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-21.jpg
Glaucoma-22,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-22.jpg
Glaucoma-23,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-23.jpg
Glaucoma-24,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-24.jpg
Glaucoma-25,1,0,0,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-25.jpg
Glaucoma-26,1,1,0,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-26.jpg
Glaucoma-27,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-27.jpg
Glaucoma-28,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-28.jpg
Glaucoma-29,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-29.jpg
Glaucoma-30,0,1,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-30.jpg
Glaucoma-31,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-31.jpg
Glaucoma-32,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-32.jpg
Glaucoma-33,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-33.jpg
Glaucoma-34,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-34.jpg
Glaucoma-35,0,1,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-35.jpg
Glaucoma-36,0,1,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-36.jpg
Glaucoma-37,1,1,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-37.jpg
Glaucoma-38,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-38.jpg
Glaucoma-39,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-39.jpg
Glaucoma-40,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-40.jpg
Glaucoma-41,1,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-41.jpg
Glaucoma-42,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-42.jpg
Glaucoma-43,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-43.jpg
Glaucoma-44,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-44.jpg
Glaucoma-45,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-45.jpg
Glaucoma-46,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-46.jpg
Glaucoma-47,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-47.jpg
Glaucoma-48,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-48.jpg
Glaucoma-49,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-49.jpg
Glaucoma-50,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-50.jpg
Glaucoma-51,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-51.jpg
Glaucoma-52,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-52.jpg
Healthy-1,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-1.jpg
Healthy-2,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-2.jpg
Healthy-3,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-3.jpg
Healthy-4,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-4.jpg
Healthy-5,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-5.jpg
Healthy-6,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-6.jpg
Healthy-7,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-7.jpg
Healthy-8,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-8.jpg
Healthy-9,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-9.jpg
Healthy-10,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-10.jpg
Healthy-11,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-11.jpg
Healthy-12,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-12.jpg
Healthy-13,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-13.jpg
Healthy-14,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-14.jpg
Healthy-15,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-15.jpg
Healthy-16,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-16.jpg
Healthy-17,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-17.jpg
Healthy-18,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-18.jpg
Healthy-19,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-19.jpg
Healthy-20,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-20.jpg
Healthy-21,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-21.jpg
Healthy-22,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-22.jpg
Healthy-23,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-23.jpg
Healthy-24,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-24.jpg
Healthy-25,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-25.jpg
Healthy-26,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Healthy-26.jpg
Local1-1,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-1.jpg
Local1-2,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-2.jpg
Local1-3,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-3.jpg
Local1-4,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-4.jpg
Local1-5,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-5.jpg
Local1-6,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-6.jpg
Local1-7,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-7.jpg
Local1-8,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-8.jpg
Local1-9,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-9.jpg
Local1-10,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-10.jpg
Local1-11,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-11.jpg
Local1-12,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-12.jpg
Local1-13,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-13.jpg
Local1-14,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-14.jpg
Local1-15,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-15.jpg
Local1-16,0,1,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-16.jpg
Local1-17,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-17.jpg
Local1-18,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-18.jpg
Local1-19,0,1,1,0,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-19.jpg
Local1-20,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-20.jpg
Local1-21,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-21.jpg
Local1-22,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-22.jpg
Local1-23,1,1,1,1,0,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-23.jpg
Local1-24,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-24.jpg
Local1-25,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-25.jpg
Local1-26,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-26.jpg
Local1-27,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-27.jpg
Local1-28,0,1,1,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-28.jpg
Local1-29,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-29.jpg
Local1-30,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-30.jpg
Local1-31,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-31.jpg
Local1-32,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-32.jpg
Local1-33,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-33.jpg
Local1-34,0,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-34.jpg
Local1-35,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-35.jpg
Local1-36,1,1,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-36.jpg
Local1-37,1,1,0,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-37.jpg
Local1-38,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-38.jpg
Local1-39,0,1,1,0,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-39.jpg
Local1-40,1,1,0,0,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-40.jpg
Local1-41,1,1,1,0,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-41.jpg
Local1-42,1,1,1,0,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-42.jpg
Local1-43,1,1,1,0,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-43.jpg
Local1-44,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-44.jpg
Local1-45,1,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-45.jpg
Local1-46,0,1,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-46.jpg
Local1-47,0,0,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-47.jpg
Local1-48,0,0,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-48.jpg
Local1-49,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-49.jpg
Local1-50,0,1,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-50.jpg
Local1-51,0,0,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-51.jpg
Local1-52,0,0,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-52.jpg
Local1-53,0,1,1,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-53.jpg
Local1-54,0,1,1,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-54.jpg
Local1-55,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-55.jpg
Local1-56,0,0,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-56.jpg
Local1-57,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-57.jpg
Local1-58,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-58.jpg
Local1-59,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-59.jpg
Local1-60,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-60.jpg
Local1-61,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-61.jpg
Local1-62,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-62.jpg
Local1-63,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-63.jpg
Local1-64,0,0,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-64.jpg
Local1-65,0,1,1,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-65.jpg
Local1-66,0,1,0,0,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-66.jpg
Local1-67,0,0,1,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-67.jpg
Local1-68,0,1,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-68.jpg
Local1-69,0,1,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-69.jpg
Local1-70,0,1,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-70.jpg
Local1-71,0,1,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-71.jpg
Local1-72,0,1,1,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-72.jpg
Local1-73,0,1,1,0,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-73.jpg
Local1-74,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-74.jpg
Local1-75,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-75.jpg
Local1-76,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-76.jpg
Local1-77,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-77.jpg
Local1-78,0,0,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-78.jpg
Local1-79,0,0,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-79.jpg
Local1-80,0,0,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-80.jpg
Local1-81,0,0,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-81.jpg
Local1-82,0,0,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-82.jpg
Local1-83,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-83.jpg
Local1-84,0,1,1,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-84.jpg
Local1-85,0,1,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-85.jpg
Local1-86,0,1,0,0,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-86.jpg
Local1-87,0,1,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Local1-87.jpg
