Name,Illumination,Contrast,Clarity,Artifacts,Field,Quality,Left,Right,left_or_right,fundus_image_type
58_A,1,1,1,1,1,1,0,1,right,standard
59_A,1,1,0,1,1,1,0,1,right,standard
60_A,1,1,1,1,1,1,0,1,right,standard
61_A,1,1,1,1,1,1,1,0,left,standard
62_A,1,1,1,1,1,1,1,0,left,standard
63_A,1,1,1,1,1,1,1,0,left,standard
64_A,1,1,1,1,1,1,1,0,left,standard
65_A,1,1,1,1,1,1,1,0,left,standard
66_A,1,1,0,1,1,1,0,1,right,standard
67_A,1,1,1,1,1,1,0,1,right,standard
68_A,1,1,1,1,1,1,0,1,right,standard
69_A,1,1,1,1,1,1,0,1,right,standard
70_A,1,1,1,1,1,1,1,0,left,standard
71_A,1,1,1,1,1,1,0,1,right,standard
72_A,1,1,1,1,1,1,1,0,left,standard
73_A,1,1,1,1,1,1,1,0,left,standard
74_A,1,1,1,1,1,1,1,0,left,standard
75_A,1,1,1,1,1,1,0,1,right,standard
76_A,0,1,0,1,1,1,1,0,left,standard
77_A,0,1,1,1,1,1,1,0,left,standard
78_A,1,1,1,0,1,1,1,0,left,standard
79_A,1,1,1,1,1,1,1,0,left,standard
80_A,1,1,1,1,1,1,1,0,left,standard
81_A,1,1,1,1,1,1,1,0,left,standard
82_A,1,1,0,1,1,1,1,0,left,standard
83_A,1,1,0,1,1,1,1,0,left,standard
84_A,1,1,0,1,1,1,0,1,right,standard
85_A,1,1,0,0,1,1,1,0,left,standard
86_A,1,1,1,1,1,1,1,0,left,standard
87_A,1,1,1,1,1,1,1,0,left,standard
88_A,1,1,1,1,1,1,1,0,left,standard
89_A,1,1,1,1,1,1,0,1,right,standard
90_A,1,1,1,1,1,1,1,0,left,standard
91_A,0,1,1,1,1,1,0,1,right,standard
92_A,1,1,1,1,1,1,0,1,right,standard
93_A,1,1,1,1,1,1,1,0,left,standard
94_A,1,1,1,1,1,1,0,1,right,standard
95_A,1,1,1,1,1,1,1,0,left,standard
96_A,1,1,1,1,1,1,0,1,right,standard
97_A,1,1,1,1,1,1,0,1,right,standard
98_A,0,1,1,1,1,1,1,0,left,standard
99_A,0,1,1,1,1,1,0,1,right,standard
100_A,1,1,1,1,1,1,0,1,right,standard
101_A,1,1,1,1,1,1,1,0,left,standard
102_A,0,1,1,1,1,1,0,1,right,standard
103_A,1,1,1,1,1,1,1,0,left,standard
104_A,1,1,1,1,1,1,1,0,left,standard
105_A,1,1,1,1,1,1,1,0,left,standard
106_A,1,1,0,1,1,1,1,0,left,standard
107_A,1,1,0,1,1,1,1,0,left,standard
108_A,1,1,0,1,1,1,1,0,left,standard
109_A,1,1,0,0,1,1,1,0,left,standard
110_A,1,1,1,1,1,1,0,1,right,standard
111_A,1,1,1,1,1,1,0,1,right,standard
112_A,1,1,1,1,1,1,1,0,left,standard
113_A,1,1,1,1,1,1,1,0,left,standard
114_A,1,1,1,1,1,1,1,0,left,standard
115_A,1,1,1,1,1,1,0,1,right,standard
116_A,1,1,1,1,1,1,0,1,right,standard
117_A,1,1,1,1,1,1,0,1,right,standard
118_A,1,1,1,1,1,1,0,1,right,standard
119_A,1,1,1,1,1,1,0,1,right,standard
120_A,1,1,1,1,1,1,0,1,right,standard
121_A,1,1,1,1,1,1,1,0,left,standard
122_A,1,1,1,1,1,1,0,1,right,standard
123_A,1,1,1,1,1,1,1,0,left,standard
124_A,1,1,1,1,1,1,1,0,left,standard
125_A,1,1,1,1,1,1,1,0,left,standard
126_A,1,1,1,1,1,1,1,0,left,standard
127_A,1,1,1,1,1,1,1,0,left,standard
128_A,1,1,1,1,1,1,0,1,right,standard
129_A,1,1,1,1,1,1,1,0,left,standard
130_A,1,1,1,1,1,1,0,1,right,standard
131_A,1,1,0,1,1,1,0,1,right,standard
132_A,1,1,1,1,1,1,1,0,left,standard
133_A,1,1,1,1,1,1,1,0,left,standard
134_A,1,1,1,1,1,1,0,1,right,standard
135_A,1,1,1,1,1,1,1,0,left,standard
136_A,1,1,1,1,1,1,0,1,right,standard
137_A,1,1,1,1,1,1,0,1,right,standard
138_A,1,1,0,1,1,1,0,1,right,standard
139_A,1,1,1,1,1,1,0,1,right,standard
140_A,1,1,1,1,1,1,0,1,right,standard
141_A,1,1,1,1,1,1,0,1,right,standard
142_A,1,1,1,1,1,1,0,1,right,standard
143_A,0,1,0,1,1,1,1,0,left,standard
144_A,1,1,1,1,1,1,0,1,right,standard
145_A,1,1,1,1,1,1,1,0,left,standard
146_A,1,1,1,1,1,1,0,1,right,standard
147_A,1,1,1,1,1,1,0,1,right,standard
148_A,1,1,1,1,1,1,0,1,right,standard
149_A,1,1,1,1,1,1,0,1,right,standard
150_A,1,1,1,1,1,1,1,0,left,standard
151_D,0,1,1,1,1,1,0,1,right,standard
152_D,1,1,1,1,1,1,0,1,right,standard
153_D,1,1,1,1,1,1,0,1,right,standard
154_D,1,1,1,1,1,1,0,1,right,standard
155_D,0,1,0,0,1,1,0,1,right,standard
156_D,1,1,1,1,1,1,1,0,left,standard
157_D,1,1,1,1,1,1,0,1,right,standard
158_D,1,1,1,1,1,1,0,1,right,standard
159_D,1,1,1,1,1,1,0,1,right,standard
160_D,1,1,1,1,1,1,0,1,right,standard
161_D,1,1,1,1,1,1,1,0,left,standard
162_D,1,1,1,1,1,1,0,1,right,standard
163_D,0,1,0,1,1,0,0,1,right,standard
164_D,1,1,1,1,1,1,1,0,left,standard
165_D,0,1,1,1,1,1,0,1,right,standard
166_D,0,1,0,1,1,1,1,0,left,standard
167_D,1,1,1,1,1,1,1,0,left,standard
168_D,0,1,1,1,1,1,1,0,left,standard
169_D,1,1,0,1,1,1,0,1,right,standard
170_D,1,1,1,1,1,1,0,1,right,standard
171_D,1,1,1,1,1,1,0,1,right,standard
172_D,1,1,1,1,1,1,1,0,left,standard
173_D,0,1,0,0,1,1,1,0,left,standard
174_D,1,1,1,1,1,1,0,1,right,standard
175_D,0,1,1,1,1,1,0,1,right,standard
176_D,1,1,1,1,1,1,0,1,right,standard
177_D,1,1,1,1,1,1,1,0,left,standard
178_D,1,1,1,1,1,1,1,0,left,standard
179_D,1,1,1,1,1,1,0,1,right,standard
180_D,1,1,1,1,1,1,0,1,right,standard
181_D,1,1,1,1,1,1,0,1,right,standard
182_D,1,1,1,1,1,1,0,1,right,standard
183_D,1,1,1,1,1,1,0,1,right,standard
184_D,1,1,1,1,1,1,0,1,right,standard
185_D,1,1,1,1,1,1,0,1,right,standard
186_D,1,1,1,1,1,1,0,1,right,standard
187_D,1,1,1,1,1,1,0,1,right,standard
188_D,1,1,1,1,1,1,1,0,left,standard
189_D,0,1,1,1,1,1,1,0,left,standard
190_D,1,1,1,1,1,1,0,1,right,standard
191_D,1,1,1,1,1,1,0,1,right,standard
192_D,1,1,1,1,1,1,0,1,right,standard
193_D,1,1,1,1,1,1,0,1,right,standard
194_D,1,1,1,1,1,1,1,0,left,standard
195_D,1,1,1,1,1,1,0,1,right,standard
196_D,1,1,1,1,1,1,0,1,right,standard
197_D,1,1,1,1,1,1,1,0,left,standard
198_D,1,1,1,1,1,1,0,1,right,standard
199_D,1,1,0,1,1,1,1,0,left,standard
200_D,1,1,1,1,1,1,1,0,left,standard
201_D,0,1,0,1,1,1,0,1,right,standard
202_D,1,1,1,0,1,1,1,0,left,standard
203_D,1,1,1,1,1,1,0,1,right,standard
204_D,1,1,1,1,1,1,0,1,right,standard
205_D,1,1,1,1,1,1,1,0,left,standard
206_D,1,1,1,1,1,1,0,1,right,standard
207_D,1,1,1,1,1,1,0,1,right,standard
208_D,1,1,1,1,1,1,0,1,right,standard
209_D,1,1,1,1,1,1,1,0,left,standard
210_D,1,1,0,1,1,1,0,1,right,standard
211_D,1,1,1,1,1,1,0,1,right,standard
212_D,1,1,1,0,1,1,0,1,right,standard
213_D,1,1,1,1,1,1,1,0,left,standard
214_D,1,1,1,1,1,1,0,1,right,standard
215_D,0,1,0,1,1,1,1,0,left,standard
216_D,1,1,1,1,1,1,0,1,right,standard
217_D,1,1,1,1,1,1,0,1,right,standard
218_D,1,1,1,1,1,1,0,1,right,standard
219_D,1,1,0,1,1,1,1,0,left,standard
220_D,1,1,1,1,1,1,1,0,left,standard
221_D,1,1,1,0,1,1,0,1,right,standard
222_D,0,0,0,0,1,1,0,1,right,standard
223_D,1,1,0,1,1,1,0,1,right,standard
224_D,1,1,1,1,1,1,1,0,left,standard
225_D,1,1,1,1,1,1,0,1,right,standard
226_D,1,1,1,1,1,1,0,1,right,standard
227_D,1,1,1,1,1,1,0,1,right,standard
228_D,1,1,1,1,1,1,1,0,left,standard
229_D,1,1,1,1,1,1,0,1,right,standard
230_D,1,1,1,1,1,1,0,1,right,standard
231_D,0,1,0,1,1,1,1,0,left,standard
232_D,1,1,1,1,1,1,1,0,left,standard
233_D,1,1,1,1,1,1,0,1,right,standard
234_D,1,1,1,1,1,1,0,1,right,standard
235_D,1,1,1,1,1,1,1,0,left,standard
236_D,1,1,1,1,1,1,0,1,right,standard
237_D,0,1,0,1,1,1,0,1,right,standard
238_D,1,1,1,1,1,1,0,1,right,standard
239_D,1,1,1,1,1,1,0,1,right,standard
240_D,1,1,1,1,1,1,0,1,right,standard
241_D,1,1,1,1,1,1,0,1,right,standard
242_D,1,1,0,1,1,1,1,0,left,standard
243_D,1,1,1,1,1,1,0,1,right,standard
244_D,1,1,1,1,1,1,1,0,left,standard
245_D,1,1,1,1,1,1,1,0,left,standard
246_D,1,1,1,1,1,1,0,1,right,standard
247_D,1,1,0,1,1,1,0,1,right,standard
248_D,1,1,1,1,1,1,1,0,left,standard
249_D,1,1,1,1,1,1,0,1,right,standard
250_D,1,1,0,1,1,1,0,1,right,standard
251_D,1,1,1,1,1,1,0,1,right,standard
252_D,1,1,0,1,1,1,0,1,right,standard
253_D,1,1,1,1,1,1,0,1,right,standard
254_D,1,1,1,1,1,1,1,0,left,standard
255_D,1,1,1,1,1,1,0,1,right,standard
256_D,0,1,0,1,1,1,0,1,right,standard
257_D,1,1,1,1,1,1,1,0,left,standard
258_D,1,1,1,1,1,1,1,0,left,standard
259_D,1,1,1,1,1,1,0,1,right,standard
260_D,0,1,1,1,1,1,0,1,right,standard
261_D,1,1,1,1,1,1,1,0,left,standard
262_D,1,1,1,1,1,1,1,0,left,standard
263_D,1,1,1,1,1,1,1,0,left,standard
264_D,1,1,1,1,1,1,1,0,left,standard
265_D,1,1,1,1,1,1,0,1,right,standard
266_D,1,1,0,1,1,1,0,1,right,standard
267_D,1,1,0,1,1,1,0,1,right,standard
268_D,0,1,1,1,1,1,0,1,right,standard
269_D,1,1,0,1,1,1,0,1,right,standard
270_D,1,1,0,1,1,1,0,1,right,standard
271_D,1,1,1,1,1,1,0,1,right,standard
272_D,1,1,1,1,1,1,1,0,left,standard
273_D,1,1,1,1,1,1,0,1,right,standard
274_D,1,1,1,1,1,1,1,0,left,standard
275_D,1,1,1,1,1,1,0,1,right,standard
276_D,1,1,1,1,1,1,0,1,right,standard
277_D,0,1,0,1,1,1,1,0,left,standard
278_D,1,1,0,1,1,1,1,0,left,standard
279_D,1,1,1,1,1,1,0,1,right,standard
280_D,0,1,0,1,1,1,1,0,left,standard
281_D,0,1,0,1,1,1,0,1,right,standard
282_D,1,1,1,1,1,1,1,0,left,standard
283_D,0,1,1,1,1,1,1,0,left,standard
284_D,0,1,0,1,1,1,0,1,right,standard
285_D,0,1,1,1,1,1,0,1,right,standard
286_D,1,1,1,1,1,1,0,1,right,standard
287_D,1,1,0,1,1,1,1,0,left,standard
288_D,1,1,1,1,1,1,0,1,right,standard
289_D,1,1,1,1,1,1,0,1,right,standard
290_D,1,1,1,1,1,1,0,1,right,standard
291_D,1,1,1,1,1,1,0,1,right,standard
292_D,1,1,1,1,1,1,0,1,right,standard
293_D,1,1,1,1,1,1,0,1,right,standard
294_D,1,1,0,1,1,1,0,1,right,standard
295_D,1,1,1,1,1,1,0,1,right,standard
296_D,1,1,1,1,1,1,1,0,left,standard
297_D,1,1,0,1,1,1,1,0,left,standard
298_D,1,1,0,1,1,1,1,0,left,standard
299_D,1,1,0,1,1,1,0,1,right,standard
300_D,1,1,1,1,1,1,1,0,left,standard
301_G,0,1,0,1,1,1,1,0,left,standard
302_G,0,1,1,1,1,1,0,1,right,standard
303_G,1,1,0,1,1,1,0,1,right,standard
304_G,1,1,1,1,1,1,0,1,right,standard
305_G,1,1,1,1,1,1,1,0,left,standard
306_G,1,1,1,1,1,1,0,1,right,standard
307_G,0,1,1,1,1,1,1,0,left,standard
308_G,1,1,1,1,1,1,1,0,left,standard
309_G,0,1,1,1,1,1,1,0,left,standard
310_G,1,1,1,1,1,1,0,1,right,standard
311_G,1,1,1,1,1,1,0,1,right,standard
312_G,1,1,1,1,1,1,0,1,right,standard
313_G,1,1,1,1,1,1,0,1,right,standard
314_G,1,1,1,1,1,1,1,0,left,standard
315_G,1,1,1,1,1,1,0,1,right,standard
316_G,0,0,0,1,1,0,1,0,left,standard
317_G,0,1,1,1,1,1,1,0,left,standard
318_G,1,1,1,1,1,1,0,1,right,standard
319_G,0,0,0,1,1,1,0,1,right,standard
320_G,0,1,1,1,1,1,1,0,left,standard
321_G,0,1,0,1,1,1,1,0,left,standard
322_G,1,1,1,1,1,1,0,1,right,standard
323_G,0,0,0,1,1,0,0,1,right,standard
324_G,0,1,0,1,1,0,1,0,left,standard
325_G,0,0,0,1,1,0,1,0,left,standard
326_G,0,0,0,1,1,0,1,0,left,standard
327_G,1,1,1,1,1,1,1,0,left,standard
328_G,0,1,1,1,1,1,0,1,right,standard
329_G,1,1,1,0,1,1,0,1,right,standard
330_G,0,1,1,0,1,1,1,0,left,standard
331_G,0,0,0,0,1,0,0,1,right,standard
332_G,0,1,1,0,1,1,1,0,left,standard
333_G,1,1,1,0,1,1,1,0,left,standard
334_G,0,1,0,1,1,1,1,0,left,standard
335_G,0,1,1,1,1,1,0,1,right,standard
336_G,0,1,1,1,1,1,0,1,right,standard
337_G,0,1,1,1,1,1,1,0,left,standard
338_G,0,1,1,1,1,1,0,1,right,standard
339_G,1,1,1,1,1,1,1,0,left,standard
340_G,1,1,1,1,1,1,0,1,right,standard
341_G,0,0,0,1,1,0,0,1,right,standard
342_G,1,1,1,1,1,1,0,1,right,standard
343_G,1,1,1,1,1,1,1,0,left,standard
344_G,1,1,1,1,1,1,1,0,left,standard
345_G,1,1,1,1,1,1,0,1,right,standard
346_G,1,1,1,1,1,1,1,0,left,standard
347_G,1,1,1,1,1,1,0,1,right,standard
348_G,1,1,1,1,1,1,1,0,left,standard
349_G,0,1,1,1,1,1,1,0,left,standard
350_G,1,1,1,1,1,1,0,1,right,standard
351_G,1,1,1,1,1,1,1,0,left,standard
352_G,0,1,1,1,1,1,0,1,right,standard
353_G,0,0,1,1,1,0,1,0,left,standard
354_G,0,1,1,1,1,1,1,0,left,standard
355_G,0,1,1,1,1,1,0,1,right,standard
356_G,1,1,1,1,1,1,0,1,right,standard
357_G,1,1,1,1,1,1,1,0,left,standard
358_G,1,1,1,1,1,1,0,1,right,standard
359_G,1,1,1,1,1,1,1,0,left,standard
360_G,0,0,0,1,1,0,1,0,left,standard
361_G,0,0,0,1,1,0,0,1,right,standard
362_G,0,1,1,1,1,1,0,1,right,standard
363_G,0,0,0,1,1,0,1,0,left,standard
364_G,0,1,0,1,1,1,0,1,right,standard
365_G,0,1,1,1,1,1,1,0,left,standard
366_G,0,1,0,1,1,1,0,1,right,standard
367_G,1,1,1,1,1,1,0,1,right,standard
368_G,0,1,1,1,1,1,1,0,left,standard
369_G,0,1,1,1,1,1,0,1,right,standard
370_G,0,1,1,1,1,1,1,0,left,standard
371_G,0,1,0,1,1,1,0,1,right,standard
372_G,0,1,1,1,1,1,1,0,left,standard
373_G,0,0,0,0,1,0,0,1,right,standard
374_G,0,1,1,1,1,1,0,1,right,standard
375_G,0,1,1,1,1,1,1,0,left,standard
376_G,1,1,1,1,1,1,1,0,left,standard
377_G,0,1,1,1,1,1,0,1,right,standard
378_G,1,1,1,1,1,1,0,1,right,standard
379_G,1,1,0,1,1,1,0,1,right,standard
380_G,0,0,0,1,1,1,1,0,left,standard
381_G,0,1,0,1,1,1,0,1,right,standard
382_G,0,1,0,1,1,1,1,0,left,standard
383_G,1,1,1,1,1,1,0,1,right,standard
384_G,0,0,0,1,1,0,0,1,right,standard
385_G,0,1,0,0,1,1,1,0,left,standard
386_G,1,1,1,1,1,1,0,1,right,standard
387_G,1,1,1,1,1,1,0,1,right,standard
388_G,1,1,1,1,1,1,1,0,left,standard
389_G,1,1,1,1,1,1,1,0,left,standard
390_G,1,1,1,1,1,1,0,1,right,standard
391_G,0,1,1,1,1,1,1,0,left,standard
392_G,1,1,1,1,1,1,0,1,right,standard
393_G,0,1,1,1,1,1,1,0,left,standard
394_G,0,1,0,1,1,1,1,0,left,standard
395_G,0,1,1,1,1,1,1,0,left,standard
396_G,1,1,1,1,1,1,1,0,left,standard
397_G,1,1,1,1,1,1,0,1,right,standard
398_G,1,1,1,1,1,1,1,0,left,standard
399_G,1,1,0,1,1,1,1,0,left,standard
400_G,0,1,0,1,1,1,0,1,right,standard
401_G,0,0,0,1,1,0,1,0,left,standard
402_G,1,1,1,1,1,1,1,0,left,standard
403_G,1,1,1,1,1,1,0,1,right,standard
404_G,1,0,0,1,1,1,1,0,left,standard
405_G,0,1,0,1,1,1,1,0,left,standard
406_G,0,1,0,1,1,1,0,1,right,standard
407_G,1,1,1,1,1,1,0,1,right,standard
408_G,1,1,1,1,1,1,1,0,left,standard
409_G,1,1,1,1,1,1,0,1,right,standard
410_G,0,1,0,1,1,1,1,0,left,standard
411_G,1,1,1,1,1,1,0,1,right,standard
412_G,1,1,1,1,1,1,0,1,right,standard
413_G,1,1,1,1,1,1,1,0,left,standard
414_G,1,1,1,1,1,1,0,1,right,standard
415_G,1,1,0,1,1,1,1,0,left,standard
416_G,0,0,0,1,1,1,1,0,left,standard
417_G,1,1,1,1,1,1,0,1,right,standard
418_G,1,1,1,1,1,1,1,0,left,standard
419_G,1,1,1,1,1,1,0,1,right,standard
420_G,1,1,1,1,1,1,1,0,left,standard
421_G,1,1,1,1,1,1,0,1,right,standard
422_G,1,1,1,1,1,1,1,0,left,standard
423_G,1,1,1,1,1,1,0,1,right,standard
424_G,1,1,1,1,1,1,0,1,right,standard
425_G,1,1,1,1,1,1,0,1,right,standard
426_G,1,1,1,1,1,1,1,0,left,standard
427_G,0,1,1,1,1,1,0,1,right,standard
428_G,1,1,1,1,1,1,1,0,left,standard
429_G,1,1,1,1,1,1,0,1,right,standard
430_G,1,1,1,1,1,1,1,0,left,standard
431_G,1,1,1,1,1,1,1,0,left,standard
432_G,1,1,1,1,1,1,0,1,right,standard
433_G,1,1,1,1,1,1,1,0,left,standard
434_G,0,1,0,1,1,1,0,1,right,standard
435_G,1,1,1,1,1,1,0,1,right,standard
436_G,1,1,1,1,1,1,1,0,left,standard
437_G,1,1,1,1,1,1,0,1,right,standard
438_G,0,1,0,1,1,1,0,1,right,standard
439_G,0,1,1,1,1,1,1,0,left,standard
440_G,1,1,1,1,1,1,1,0,left,standard
441_G,1,1,1,1,1,1,0,1,right,standard
442_G,0,1,0,0,1,1,1,0,left,standard
443_G,0,1,0,1,1,1,0,1,right,standard
444_G,1,1,1,1,1,1,1,0,left,standard
445_G,1,1,1,1,1,1,0,1,right,standard
446_G,1,1,1,1,1,1,1,0,left,standard
447_G,0,0,0,1,1,0,0,1,right,standard
448_G,0,0,0,1,1,0,1,0,left,standard
449_G,0,1,1,1,1,1,0,1,right,standard
450_G,1,1,1,1,1,1,1,0,left,standard
451_N,1,1,1,1,1,1,1,0,left,standard
452_N,1,1,1,1,1,1,0,1,right,standard
453_N,0,1,1,1,1,1,0,1,right,standard
454_N,0,1,1,1,1,1,1,0,left,standard
455_N,1,1,1,1,1,1,0,1,right,standard
456_N,0,1,1,1,1,1,1,0,left,standard
457_N,1,1,1,1,1,1,0,1,right,standard
458_N,1,1,1,1,1,1,1,0,left,standard
459_N,1,1,1,1,1,1,0,1,right,standard
460_N,1,1,1,1,1,1,1,0,left,standard
461_N,1,1,1,1,1,1,1,0,left,standard
462_N,1,1,1,1,1,1,1,0,left,standard
463_N,1,1,1,1,1,1,1,0,left,standard
464_N,0,1,1,1,1,1,0,1,right,standard
465_N,1,1,1,1,1,1,0,1,right,standard
466_N,1,1,1,1,1,1,1,0,left,standard
467_N,1,1,1,1,1,1,0,1,right,standard
468_N,1,1,1,1,1,1,1,0,left,standard
469_N,1,1,1,1,1,1,0,1,right,standard
470_N,1,1,1,1,1,1,1,0,left,standard
471_N,1,1,1,1,1,1,0,1,right,standard
472_N,1,1,1,1,1,1,1,0,left,standard
473_N,1,1,1,1,1,1,0,1,right,standard
474_N,1,1,1,1,1,1,1,0,left,standard
475_N,1,1,1,1,1,1,1,0,left,standard
476_N,1,1,1,1,1,1,0,1,right,standard
477_N,1,1,1,1,1,1,1,0,left,standard
478_N,1,1,1,1,1,1,1,0,left,standard
479_N,1,1,1,1,1,1,0,1,right,standard
480_N,1,1,1,1,1,1,0,1,right,standard
481_N,1,1,1,1,1,1,0,1,right,standard
482_N,1,1,1,1,1,1,0,1,right,standard
483_N,1,1,1,1,1,1,1,0,left,standard
484_N,1,1,1,1,1,1,0,1,right,standard
485_N,1,1,1,1,1,1,1,0,left,standard
486_N,1,1,1,1,1,1,0,1,right,standard
487_N,1,1,1,1,1,1,1,0,left,standard
488_N,1,1,1,1,1,1,0,1,right,standard
489_N,1,1,1,1,1,1,0,1,right,standard
490_N,1,1,1,1,1,1,0,1,right,standard
491_N,1,1,1,1,1,1,1,0,left,standard
492_N,1,1,1,1,1,1,1,0,left,standard
493_N,1,1,1,1,1,1,1,0,left,standard
494_N,1,1,1,1,1,1,0,1,right,standard
495_N,1,1,1,1,1,1,0,1,right,standard
496_N,1,1,1,1,1,1,0,1,right,standard
497_N,1,1,1,1,1,1,0,1,right,standard
498_N,1,1,1,1,1,1,1,0,left,standard
499_N,1,1,1,1,1,1,1,0,left,standard
500_N,1,1,1,1,1,1,1,0,left,standard
501_N,1,1,1,1,1,1,0,1,right,standard
502_N,1,1,1,1,1,1,0,1,right,standard
503_N,1,1,1,1,1,1,0,1,right,standard
504_N,1,1,1,1,1,1,0,1,right,standard
505_N,1,1,1,1,1,1,0,1,right,standard
506_N,1,1,1,1,1,1,1,0,left,standard
507_N,1,1,1,1,1,1,0,1,right,standard
508_N,1,1,1,1,1,1,1,0,left,standard
509_N,1,1,1,1,1,1,0,1,right,standard
510_N,1,1,1,1,1,1,0,1,right,standard
511_N,1,1,1,1,1,1,0,1,right,standard
512_N,1,1,1,1,1,1,1,0,left,standard
513_N,1,1,1,1,1,1,0,1,right,standard
514_N,1,1,1,1,1,1,0,1,right,standard
515_N,1,1,1,1,1,1,0,1,right,standard
516_N,1,1,1,1,1,1,1,0,left,standard
517_N,1,1,1,1,1,1,1,0,left,standard
518_N,1,1,1,1,1,1,0,1,right,standard
519_N,1,1,1,1,1,1,0,1,right,standard
520_N,1,1,1,1,1,1,1,0,left,standard
521_N,1,1,1,1,1,1,0,1,right,standard
522_N,1,1,1,1,1,1,0,1,right,standard
523_N,1,1,1,1,1,1,0,1,right,standard
524_N,1,1,1,1,1,1,1,0,left,standard
525_N,1,1,1,1,1,1,0,1,right,standard
526_N,1,1,1,1,1,1,0,1,right,standard
527_N,1,1,1,1,1,1,1,0,left,standard
528_N,1,1,1,1,1,1,0,1,right,standard
529_N,1,1,1,1,1,1,0,1,right,standard
530_N,1,1,1,1,1,1,1,0,left,standard
531_N,0,1,1,1,1,1,0,1,right,standard
532_N,1,1,1,1,1,1,0,1,right,standard
533_N,1,1,1,1,1,1,0,1,right,standard
534_N,1,1,1,1,1,1,1,0,left,standard
535_N,1,1,1,1,1,1,1,0,left,standard
536_N,1,1,1,1,1,1,1,0,left,standard
537_N,1,1,1,1,1,1,0,1,right,standard
538_N,1,1,1,1,1,1,1,0,left,standard
539_N,1,1,1,1,1,1,0,1,right,standard
540_N,1,1,1,1,1,1,0,1,right,standard
541_N,1,1,1,1,1,1,1,0,left,standard
542_N,1,1,1,1,1,1,1,0,left,standard
543_N,1,1,1,1,1,1,0,1,right,standard
544_N,1,1,1,1,1,1,0,1,right,standard
545_N,1,1,1,1,1,1,1,0,left,standard
546_N,1,1,1,1,1,1,1,0,left,standard
547_N,1,1,1,1,1,1,1,0,left,standard
548_N,1,1,1,1,1,1,0,1,right,standard
549_N,1,1,1,1,1,1,0,1,right,standard
550_N,1,1,1,1,1,1,1,0,left,standard
551_N,1,1,1,1,1,1,0,1,right,standard
552_N,1,1,1,1,1,1,1,0,left,standard
553_N,1,1,1,1,1,1,0,1,right,standard
554_N,1,1,1,1,1,1,1,0,left,standard
555_N,1,1,1,1,1,1,0,1,right,standard
