Name,Illumination,Contrast,Clarity,Artifacts,Field,Left,Right,left_or_right,fundus_image_type,Quality
img00075,1,1,1,1,1,1,0,left,standard,1
img00076,1,1,1,1,1,0,1,right,standard,1
img00077,1,1,1,1,1,1,0,left,standard,1
img00078,1,1,1,1,1,0,1,right,standard,1
img00079,1,1,1,1,1,1,0,left,standard,1
img00080,1,1,1,1,1,0,1,right,standard,1
img00081,1,1,1,1,1,1,0,left,standard,1
img00082,1,1,1,1,1,0,1,right,standard,1
img00083,1,1,1,1,1,1,0,left,standard,1
img00084,1,1,1,1,1,0,1,right,standard,1
img00085,1,1,1,1,1,1,0,left,standard,1
img00086,1,1,1,1,1,0,1,right,standard,1
img00087,1,1,1,1,1,1,0,left,standard,1
img00088,1,1,1,1,1,0,1,right,standard,1
img00089,1,1,1,1,1,1,0,left,standard,1
img00090,1,1,1,1,1,0,1,right,standard,1
img00091,1,1,1,1,1,1,0,left,standard,1
img00092,1,1,1,1,1,0,1,right,standard,1
img00093,1,1,1,1,1,1,0,left,standard,1
img00094,1,1,1,1,1,0,1,right,standard,1
img00095,1,1,1,1,1,1,0,left,standard,1
img00096,1,1,1,1,1,0,1,right,standard,1
img00097,1,1,1,1,1,1,0,left,standard,1
img00098,1,1,1,1,1,0,1,right,standard,1
img00099,1,1,1,1,1,1,0,left,standard,1
img00100,1,1,1,1,1,0,1,right,standard,1
img00101,1,1,1,1,1,1,0,left,standard,1
img00102,1,1,1,1,1,0,1,right,standard,1
img00103,1,1,1,1,1,1,0,left,standard,1
img00104,1,1,1,1,1,0,1,right,standard,1
img00105,1,1,1,1,1,1,0,left,standard,1
img00106,1,1,1,1,1,0,1,right,standard,1
img00107,1,1,1,1,1,1,0,left,standard,1
img00108,1,1,1,1,1,0,1,right,standard,1
img00109,1,1,1,1,1,1,0,left,standard,1
img00110,1,1,1,1,1,0,1,right,standard,1
img00111,1,1,1,1,1,1,0,left,standard,1
img00112,1,1,1,1,1,0,1,right,standard,1
img00113,1,1,1,1,1,1,0,left,standard,1
img00114,1,1,1,1,1,0,1,right,standard,1
img00115,1,1,1,1,1,1,0,left,standard,1
img00116,1,1,1,1,1,0,1,right,standard,1
img00117,1,1,1,1,1,1,0,left,standard,1
img00118,1,1,1,1,1,0,1,right,standard,1
img00119,1,1,1,1,1,1,0,left,standard,1
img00120,1,1,1,1,1,0,1,right,standard,1
img00121,1,1,1,1,1,1,0,left,standard,1
img00122,1,1,1,1,1,0,1,right,standard,1
img00123,1,1,1,1,1,1,0,left,standard,1
img00124,1,1,1,1,1,0,1,right,standard,1
img00125,1,1,1,1,1,1,0,left,standard,1
img00126,1,1,1,1,1,0,1,right,standard,1
img00127,1,1,1,1,1,1,0,left,standard,1
img00128,1,1,1,1,1,0,1,right,standard,1
img00129,1,1,1,1,1,1,0,left,standard,1
img00130,1,1,1,1,1,0,1,right,standard,1
img00131,1,1,1,1,1,1,0,left,standard,1
img00132,1,1,1,1,1,0,1,right,standard,1
img00133,1,1,1,1,1,1,0,left,standard,1
img00134,1,1,1,1,1,0,1,right,standard,1
img00135,1,1,1,1,1,1,0,left,standard,1
img00136,1,1,1,1,1,0,1,right,standard,1
img00137,1,1,1,1,1,1,0,left,standard,1
img00138,1,1,1,1,1,0,1,right,standard,1
img00139,1,1,1,1,1,1,0,left,standard,1
img00140,1,1,1,1,1,0,1,right,standard,1
img00141,1,1,1,1,1,1,0,left,standard,1
img00142,1,1,1,1,1,0,1,right,standard,1
img00143,1,1,1,1,1,1,0,left,standard,1
img00144,1,1,1,1,1,0,1,right,standard,1
img00145,1,1,1,1,1,1,0,left,standard,1
img00146,1,1,1,1,1,0,1,right,standard,1
img00147,1,1,1,1,1,1,0,left,standard,1
img00148,1,1,1,1,1,0,1,right,standard,1
img00149,1,1,1,1,1,1,0,left,standard,1
img00150,1,1,1,1,1,0,1,right,standard,1
img00151,1,1,1,1,1,1,0,left,standard,1
img00152,1,1,1,1,1,0,1,right,standard,1
img00153,1,1,1,1,1,1,0,left,standard,1
img00154,1,1,1,1,1,0,1,right,standard,1
img00155,1,1,1,1,1,1,0,left,standard,1
img00156,1,1,1,1,1,0,1,right,standard,1
img00157,1,1,1,1,1,1,0,left,standard,1
img00158,1,1,1,1,1,0,1,right,standard,1
img00159,1,1,1,1,1,1,0,left,standard,1
img00160,1,1,1,1,1,0,1,right,standard,1
img00161,1,1,1,1,1,1,0,left,standard,1
img00162,1,1,1,1,1,0,1,right,standard,1
img00163,1,1,1,1,1,1,0,left,standard,1
img00164,1,1,1,1,1,0,1,right,standard,1
img00165,1,1,1,1,1,1,0,left,standard,1
img00166,1,1,1,1,1,0,1,right,standard,1
img00167,1,1,1,1,1,1,0,left,standard,1
img00168,1,1,1,1,1,0,1,right,standard,1
img00169,1,1,1,1,1,0,1,right,standard,1
img00170,1,1,1,1,1,1,0,left,standard,1
img00171,1,1,1,1,1,0,1,right,standard,1
img00172,1,1,1,1,1,1,0,left,standard,1
img00173,1,1,1,1,1,0,1,right,standard,1
img00174,1,1,1,1,1,1,0,left,standard,1
img00175,1,1,1,1,1,0,1,right,standard,1
img00176,1,1,1,1,1,1,0,left,standard,1
img00177,1,1,1,1,1,0,1,right,standard,1
img00178,1,1,1,1,1,1,0,left,standard,1
img00179,1,1,1,1,1,0,1,right,standard,1
img00180,1,1,1,1,1,1,0,left,standard,1
img00181,1,1,1,1,1,0,1,right,standard,1
img00182,1,1,1,1,1,1,0,left,standard,1
img00183,1,1,1,1,1,0,1,right,standard,1
img00184,1,1,1,1,1,1,0,left,standard,1
img00185,1,1,1,1,1,0,1,right,standard,1
img00186,1,1,1,1,1,1,0,left,standard,1
img00187,1,1,1,1,1,0,1,right,standard,1
img00188,1,1,1,1,1,1,0,left,standard,1
img00189,1,1,1,1,1,0,1,right,standard,1
img00190,1,1,1,1,1,1,0,left,standard,1
img00191,1,1,1,1,1,0,1,right,standard,1
img00192,1,1,1,1,1,1,0,left,standard,1
img00193,1,1,1,1,1,0,1,right,standard,1
img00194,1,1,1,1,1,1,0,left,standard,1
img00195,1,1,1,1,1,0,1,right,standard,1
img00196,1,1,1,1,1,1,0,left,standard,1
img00197,1,1,1,1,1,0,1,right,standard,1
img00198,1,1,1,1,1,1,0,left,standard,1
img00199,1,1,1,1,1,0,1,right,standard,1
img00200,1,1,1,1,1,1,0,left,standard,1
img00201,1,1,1,1,1,0,1,right,standard,1
img00202,1,1,1,1,1,1,0,left,standard,1
img00203,1,1,1,1,1,0,1,right,standard,1
img00204,1,1,1,1,1,1,0,left,standard,1
img00205,1,1,1,1,1,0,1,right,standard,1
img00206,1,1,1,1,1,1,0,left,standard,1
img00207,1,1,1,1,1,0,1,right,standard,1
img00208,1,1,1,1,1,1,0,left,standard,1
img00209,1,1,1,1,1,0,1,right,standard,1
img00210,1,1,1,1,1,1,0,left,standard,1
img00211,1,1,1,1,1,0,1,right,standard,1
img00212,1,1,1,1,1,1,0,left,standard,1
img00213,1,1,1,1,1,0,1,right,standard,1
img00214,1,1,1,1,1,1,0,left,standard,1
img00215,1,1,1,1,1,0,1,right,standard,1
img00216,1,1,1,1,1,1,0,left,standard,1
img00217,1,1,1,1,1,0,1,right,standard,1
img00218,1,1,1,1,1,1,0,left,standard,1
img00219,1,1,1,1,1,0,1,right,standard,1
img00220,1,1,1,1,1,1,0,left,standard,1
img00221,1,1,1,1,1,0,1,right,standard,1
img00222,1,1,1,1,1,1,0,left,standard,1
img00223,1,1,1,1,1,0,1,right,standard,1
img00224,1,1,1,1,1,1,0,left,standard,1
img00225,1,1,1,1,1,0,1,right,standard,1
img00226,1,1,1,1,1,1,0,left,standard,1
img00227,1,1,1,1,1,0,1,right,standard,1
img00228,1,1,1,1,1,1,0,left,standard,1
img00229,1,1,1,1,1,0,1,right,standard,1
img00230,1,1,1,1,1,1,0,left,standard,1
img00231,1,1,1,1,1,0,1,right,standard,1
img00232,1,1,1,1,1,1,0,left,standard,1
img00233,1,1,1,1,1,0,1,right,standard,1
img00234,1,1,1,1,1,1,0,left,standard,1
img00235,1,1,1,1,1,0,1,right,standard,1
img00236,1,1,1,1,1,1,0,left,standard,1
img00237,1,1,1,1,1,0,1,right,standard,1
img00238,1,1,1,1,1,1,0,left,standard,1
img00239,1,1,1,1,1,0,1,right,standard,1
img00240,1,1,1,1,1,1,0,left,standard,1
img00241,1,1,1,1,1,0,1,right,standard,1
img00242,1,1,1,1,1,1,0,left,standard,1
img00243,1,1,1,1,1,0,1,right,standard,1
img00244,1,1,1,1,1,1,0,left,standard,1
img00245,1,1,1,1,1,0,1,right,standard,1
img00246,1,1,1,1,1,1,0,left,standard,1
img00247,1,1,1,1,1,0,1,right,standard,1
img00248,1,1,1,1,1,1,0,left,standard,1
img00249,1,1,1,1,1,0,1,right,standard,1
img00250,1,1,1,1,1,1,0,left,standard,1
img00251,1,1,1,1,1,0,1,right,standard,1
img00252,1,1,1,1,1,1,0,left,standard,1
img00253,1,1,1,1,1,0,1,right,standard,1
img00254,1,1,1,1,1,1,0,left,standard,1
img00255,1,1,1,1,1,0,1,right,standard,1
img00256,1,1,1,1,1,1,0,left,standard,1
img00257,1,1,1,1,1,0,1,right,standard,1
img00258,1,1,1,1,1,1,0,left,standard,1
img00259,1,1,1,1,1,0,1,right,standard,1
img00260,1,1,1,1,1,1,0,left,standard,1
img00261,1,1,1,1,1,0,1,right,standard,1
img00262,1,1,1,1,1,1,0,left,standard,1
img00263,1,1,1,1,1,0,1,right,standard,1
img00264,1,1,1,1,1,1,0,left,standard,1
img00265,1,1,1,1,1,0,1,right,standard,1
img00266,1,1,1,1,1,1,0,left,standard,1
img00267,1,1,1,1,1,0,1,right,standard,1
img00268,1,1,1,1,1,1,0,left,standard,1
img00269,1,1,1,1,1,0,1,right,standard,1
img00270,1,1,1,1,1,1,0,left,standard,1
img00271,1,1,1,1,1,0,1,right,standard,1
img00272,1,1,1,1,1,1,0,left,standard,1
img00273,1,1,1,1,1,0,1,right,standard,1
img00274,1,1,1,1,1,1,0,left,standard,1
img00275,1,1,1,1,1,0,1,right,standard,1
img00276,1,1,1,1,1,1,0,left,standard,1
img00277,1,1,1,1,1,0,1,right,standard,1
img00278,1,1,1,1,1,1,0,left,standard,1
img00279,1,1,1,1,1,0,1,right,standard,1
img00280,1,1,1,1,1,1,0,left,standard,1
img00281,1,1,1,1,1,0,1,right,standard,1
img00282,1,1,1,1,1,1,0,left,standard,1
img00283,1,1,1,1,1,0,1,right,standard,1
img00284,1,1,1,1,1,1,0,left,standard,1
img00285,1,1,1,1,1,0,1,right,standard,1
img00286,1,1,1,1,1,1,0,left,standard,1
img00287,1,1,1,1,1,0,1,right,standard,1
img00288,1,1,1,1,1,1,0,left,standard,1
img00289,1,1,1,1,1,0,1,right,standard,1
img00290,1,1,1,1,1,1,0,left,standard,1
img00291,1,1,1,1,1,0,1,right,standard,1
img00292,1,1,1,1,1,1,0,left,standard,1
img00293,1,1,1,1,1,0,1,right,standard,1
img00294,1,1,1,1,1,1,0,left,standard,1
img00295,1,1,1,1,1,0,1,right,standard,1
img00296,1,1,1,1,1,1,0,left,standard,1
img00297,1,1,1,1,1,0,1,right,standard,1
img00298,1,1,1,1,1,1,0,left,standard,1
img00299,1,1,1,1,1,0,1,right,standard,1
img00300,1,1,1,1,1,1,0,left,standard,1
img00301,1,1,1,1,1,0,1,right,standard,1
img00302,1,1,1,1,1,1,0,left,standard,1
img00303,1,1,1,1,1,0,1,right,standard,1
img00304,1,1,1,1,1,1,0,left,standard,1
img00305,1,1,1,1,1,0,1,right,standard,1
img00306,1,1,1,1,1,1,0,left,standard,1
img00307,1,1,1,1,1,0,1,right,standard,1
img00308,1,1,1,1,1,1,0,left,standard,1
img00309,1,1,1,1,1,0,1,right,standard,1
img00310,1,1,1,1,1,1,0,left,standard,1
img00311,1,1,1,1,1,0,1,right,standard,1
img00312,1,1,1,1,1,1,0,left,standard,1
img00313,1,1,1,1,1,0,1,right,standard,1
img00314,1,1,1,1,1,1,0,left,standard,1
img00315,1,1,1,1,1,0,1,right,standard,1
img00316,1,1,1,1,1,1,0,left,standard,1
img00317,1,1,1,1,1,0,1,right,standard,1
img00318,1,1,1,1,1,1,0,left,standard,1
img00319,1,1,1,1,1,0,1,right,standard,1
img00320,1,1,1,1,1,1,0,left,standard,1
img00321,1,1,1,1,1,0,1,right,standard,1
img00322,1,1,1,1,1,1,0,left,standard,1
img00323,1,1,1,1,1,0,1,right,standard,1
img00324,1,1,1,1,1,1,0,left,standard,1
img00325,1,1,1,1,1,0,1,right,standard,1
img00326,1,1,1,1,1,1,0,left,standard,1
img00327,1,1,2,1,1,0,1,right,standard,0
img00328,1,1,1,1,1,1,0,left,standard,1
img00329,1,1,1,1,1,0,1,right,standard,1
img00330,1,1,1,1,1,1,0,left,standard,1
img00331,1,1,1,1,1,0,1,right,standard,1
img00332,1,1,1,1,1,1,0,left,standard,1
img00333,1,1,1,1,1,1,0,left,standard,1
img00334,1,1,1,1,1,0,1,right,standard,1
img00335,1,1,1,1,1,1,0,left,standard,1
img00336,1,1,1,1,1,0,1,right,standard,1
img00337,1,1,1,1,1,1,0,left,standard,1
img00338,1,1,1,1,1,0,1,right,standard,1
img00339,1,1,1,1,1,1,0,left,standard,1
img00340,1,1,1,1,1,0,1,right,standard,1
img00341,1,1,1,1,1,1,0,left,standard,1
img00342,1,1,1,1,1,0,1,right,standard,1
img00343,1,1,1,1,1,1,0,left,standard,1
img00344,1,1,1,1,1,0,1,right,standard,1
img00345,1,1,1,1,1,1,0,left,standard,1
img00346,1,1,1,1,1,0,1,right,standard,1
img00347,1,1,1,1,1,1,0,left,standard,1
img00348,1,1,1,1,1,0,1,right,standard,1
img00349,1,1,1,1,1,1,0,left,standard,1
img00350,1,1,1,1,1,0,1,right,standard,1
img00351,1,1,1,1,1,1,0,left,standard,1
img00352,1,1,1,1,1,0,1,right,standard,1
img00353,1,1,1,1,1,1,0,left,standard,1
img00354,1,1,1,1,1,0,1,right,standard,1
img00355,1,1,1,1,1,1,0,left,standard,1
img00356,1,1,1,1,1,0,1,right,standard,1
img00357,1,1,1,1,1,0,1,right,standard,1
img00358,1,1,1,1,1,1,0,left,standard,1
img00359,1,1,1,1,1,1,0,left,standard,1
img00360,1,1,2,1,1,0,1,right,standard,0
img00361,1,1,2,1,1,0,1,right,standard,0
img00362,1,1,2,1,1,1,0,left,standard,0
img00363,1,1,1,1,1,0,1,right,standard,1
img00364,1,1,1,1,1,0,1,right,standard,1
img00365,1,1,1,1,1,1,0,left,standard,1
img00366,1,1,1,1,1,0,1,right,standard,1
img00367,1,1,1,1,1,1,0,left,standard,1
img00368,1,1,1,1,1,1,0,left,standard,1
img00369,1,1,1,1,1,0,1,right,standard,1
img00370,1,1,1,1,1,0,1,right,standard,1
img00371,1,1,1,1,1,1,0,left,standard,1
img00372,1,1,1,1,1,0,1,right,standard,1
img00373,1,1,1,1,1,1,0,left,standard,1
img00374,1,1,1,1,1,1,0,left,standard,1
img00375,1,1,1,1,1,0,1,right,standard,1
img00376,1,1,1,1,1,1,0,left,standard,1
img00377,1,1,1,1,1,1,0,left,standard,1
img00378,1,1,1,1,1,0,1,right,standard,1
img00379,1,1,1,1,1,1,0,left,standard,1
img00380,1,1,1,1,1,0,1,right,standard,1
img00381,1,1,1,1,1,1,0,left,standard,1
img00382,1,1,1,1,1,1,0,left,standard,1
img00383,1,1,1,1,1,0,1,right,standard,1
img00384,1,1,1,1,1,0,1,right,standard,1
img00385,1,1,1,1,1,1,0,left,standard,1
img00386,1,1,1,1,1,0,1,right,standard,1
img00387,1,1,1,1,1,1,0,left,standard,1
img00388,1,1,1,1,1,0,1,right,standard,1
img00389,1,1,1,1,1,1,0,left,standard,1
img00390,1,1,1,1,1,0,1,right,standard,1
img00391,1,1,1,1,1,0,1,right,standard,1
img00392,1,1,1,1,1,1,0,left,standard,1
img00393,1,1,1,1,1,0,1,right,standard,1
img00394,1,1,1,1,1,0,1,right,standard,1
img00395,1,1,1,1,1,1,0,left,standard,1
img00396,1,1,1,1,1,1,0,left,standard,1
img00397,1,1,1,1,1,0,1,right,standard,1
img00398,1,1,1,1,1,1,0,left,standard,1
img00399,1,1,2,1,1,0,1,right,standard,0
img00400,1,1,2,1,1,1,0,left,standard,0
img00401,1,1,1,1,1,0,1,right,standard,1
img00402,1,1,1,1,1,1,0,left,standard,1
img00403,1,1,1,1,1,0,1,right,standard,1
img00404,1,1,1,1,1,1,0,left,standard,1
img00405,1,1,1,1,1,0,1,right,standard,1
img00406,1,1,1,1,1,1,0,left,standard,1
img00407,1,1,1,1,1,1,0,left,standard,1
img00408,1,1,1,1,1,0,1,right,standard,1
img00409,1,1,1,1,1,1,0,left,standard,1
img00410,1,1,1,1,1,0,1,right,standard,1
img00411,1,1,1,1,1,1,0,left,standard,1
img00412,1,1,1,1,1,0,1,right,standard,1
img00413,1,1,1,1,1,1,0,left,standard,1
img00414,1,1,1,1,1,0,1,right,standard,1
img00415,1,1,1,1,1,1,0,left,standard,1
img00416,1,1,1,1,1,0,1,right,standard,1
img00417,1,1,1,1,1,1,0,left,standard,1
img00418,1,1,1,1,1,0,1,right,standard,1
img00419,1,1,1,1,1,1,0,left,standard,1
img00420,1,1,1,1,1,0,1,right,standard,1
img00421,1,1,1,1,2,1,0,left,standard,0
img00422,1,1,1,1,1,0,1,right,standard,1
img00423,1,1,1,1,1,1,0,left,standard,1
img00424,1,1,1,1,1,0,1,right,standard,1
img00425,1,1,1,1,1,1,0,left,standard,1
img00426,1,1,1,1,1,1,0,left,standard,1
img00427,1,1,1,1,1,0,1,right,standard,1
img00428,1,1,1,1,1,1,0,left,standard,1
img00429,1,1,1,1,1,0,1,right,standard,1
img00430,1,1,1,1,1,1,0,left,standard,1
img00431,1,1,1,1,1,0,1,right,standard,1
img00432,1,1,1,1,1,1,0,left,standard,1
img00433,1,1,1,1,1,0,1,right,standard,1
img00434,1,1,1,1,1,1,0,left,standard,1
img00435,1,1,1,1,1,0,1,right,standard,1
img00436,1,1,1,1,1,1,0,left,standard,1
img00437,1,1,1,1,1,0,1,right,standard,1
img00438,1,1,1,1,1,1,0,left,standard,1
img00439,1,1,1,1,1,0,1,right,standard,1
img00440,1,1,1,1,1,1,0,left,standard,1
img00441,1,1,1,1,1,0,1,right,standard,1
img00442,1,1,1,1,1,1,0,left,standard,1
img00443,1,1,1,1,1,0,1,right,standard,1
img00444,1,1,1,1,1,1,0,left,standard,1
img00445,1,1,1,1,1,0,1,right,standard,1
img00446,1,1,1,1,1,1,0,left,standard,1
img00447,1,1,1,1,1,0,1,right,standard,1
img00448,1,1,1,1,1,1,0,left,standard,1
img00449,1,1,1,1,1,0,1,right,standard,1
img00450,1,1,1,1,1,1,0,left,standard,1
img00451,1,1,1,1,1,0,1,right,standard,1
img00452,1,1,1,1,1,1,0,left,standard,1
img00453,1,1,1,1,1,0,1,right,standard,1
img00454,1,1,1,1,1,1,0,left,standard,1
img00455,1,1,1,1,1,0,1,right,standard,1
img00456,1,1,1,1,1,1,0,left,standard,1
img00457,1,1,1,1,1,0,1,right,standard,1
img00458,1,1,1,1,1,1,0,left,standard,1
img00459,1,1,1,1,1,0,1,right,standard,1
img00460,1,1,1,1,1,1,0,left,standard,1
img00461,1,1,1,1,1,0,1,right,standard,1
img00462,1,1,1,1,1,1,0,left,standard,1
img00463,1,1,1,1,1,0,1,right,standard,1
img00464,1,1,1,1,1,1,0,left,standard,1
img00465,1,1,1,1,1,0,1,right,standard,1
img00466,1,1,1,1,1,1,0,left,standard,1
img00467,1,1,1,1,1,0,1,right,standard,1
img00468,1,1,1,1,1,0,1,right,standard,1
img00469,1,1,1,1,1,1,0,left,standard,1
img00470,1,1,1,1,1,0,1,right,standard,1
img00471,1,1,1,1,1,1,0,left,standard,1
img00472,1,1,1,1,1,0,1,right,standard,1
img00473,1,1,1,1,1,1,0,left,standard,1
img00474,1,1,1,1,1,0,1,right,standard,1
img00475,1,1,1,1,1,1,0,left,standard,1
img00476,1,1,1,1,1,0,1,right,standard,1
img00477,1,1,1,1,1,1,0,left,standard,1
img00478,1,1,1,1,1,0,1,right,standard,1
img00479,1,1,1,1,1,1,0,left,standard,1
img00480,1,1,1,1,1,0,1,right,standard,1
img00481,1,1,1,1,1,1,0,left,standard,1
img00482,1,1,1,1,1,0,1,right,standard,1
img00483,1,1,1,1,1,1,0,left,standard,1
img00484,1,1,1,1,1,0,1,right,standard,1
img00485,1,1,1,1,1,1,0,left,standard,1
img00486,1,1,1,1,1,0,1,right,standard,1
img00487,1,1,1,1,1,0,1,right,standard,1
img00488,1,1,1,1,1,1,0,left,standard,1
img00489,1,1,1,1,1,0,1,right,standard,1
img00490,1,1,1,1,1,1,0,left,standard,1
img00491,1,1,1,1,1,0,1,right,standard,1
img00492,1,1,1,1,1,1,0,left,standard,1
img00493,1,1,1,1,1,0,1,right,standard,1
img00494,1,1,1,1,1,1,0,left,standard,1
img00495,1,1,1,1,1,1,0,left,standard,1
img00496,1,1,1,1,1,0,1,right,standard,1
img00497,1,1,1,1,1,1,0,left,standard,1
img00498,1,1,1,1,1,0,1,right,standard,1
img00499,1,1,1,1,1,1,0,left,standard,1
img00500,1,1,1,1,1,0,1,right,standard,1
img00501,1,1,1,1,1,1,0,left,standard,1
img00502,1,1,1,1,1,0,1,right,standard,1
img00503,1,1,1,1,1,1,0,left,standard,1
img00504,1,1,1,1,1,0,1,right,standard,1
img00505,1,1,1,1,1,1,0,left,standard,1
img00506,1,1,1,1,1,0,1,right,standard,1
img00507,1,1,1,1,1,0,1,right,standard,1
img00508,1,1,1,1,1,1,0,left,standard,1
img00509,1,1,1,1,1,0,1,right,standard,1
img00510,1,1,1,1,1,1,0,left,standard,1
img00511,1,1,1,1,1,0,1,right,standard,1
img00512,1,1,1,1,1,1,0,left,standard,1
img00513,1,1,1,1,1,1,0,left,standard,1
img00514,1,1,1,1,1,0,1,right,standard,1
img00515,1,1,1,1,1,1,0,left,standard,1
img00516,1,1,1,1,1,0,1,right,standard,1
img00517,1,1,1,1,1,1,0,left,standard,1
img00518,1,1,1,1,1,0,1,right,standard,1
img00519,1,1,1,1,1,1,0,left,standard,1
img00520,1,1,1,1,1,0,1,right,standard,1
img00521,1,1,1,1,1,1,0,left,standard,1
img00522,1,1,1,1,1,0,1,right,standard,1
img00523,1,1,1,1,1,1,0,left,standard,1
img00524,1,1,1,1,1,0,1,right,standard,1
img00525,1,1,1,1,1,1,0,left,standard,1
img00526,1,1,1,1,1,0,1,right,standard,1
img00527,1,1,1,1,1,1,0,left,standard,1
img00528,1,1,1,1,1,0,1,right,standard,1
img00529,1,1,1,1,1,1,0,left,standard,1
img00530,1,1,1,1,1,0,1,right,standard,1
img00531,1,1,1,1,1,1,0,left,standard,1
img00532,1,1,1,1,1,0,1,right,standard,1
img00533,1,1,1,1,1,1,0,left,standard,1
img00534,1,1,1,1,1,0,1,right,standard,1
img00535,1,1,1,1,1,1,0,left,standard,1
img00536,1,1,1,1,1,0,1,right,standard,1
img00537,1,1,1,1,1,1,0,left,standard,1
img00538,1,1,1,1,1,0,1,right,standard,1
img00539,1,1,1,1,1,1,0,left,standard,1
img00540,1,1,1,1,1,0,1,right,standard,1
img00541,1,1,1,1,1,1,0,left,standard,1
img00542,1,1,1,1,1,0,1,right,standard,1
img00543,1,1,1,1,1,1,0,left,standard,1
img00544,1,1,1,1,1,0,1,right,standard,1
img00545,1,1,1,1,2,1,0,left,standard,0
img00546,1,1,1,1,1,0,1,right,standard,1
img00547,1,1,1,1,1,1,0,left,standard,1
img00548,1,1,1,1,2,0,1,right,standard,0
img00549,1,1,2,1,1,1,0,left,standard,0
img00550,1,1,1,1,1,0,1,right,standard,1
img00551,1,1,1,1,1,1,0,left,standard,1
img00552,1,1,1,1,1,0,1,right,standard,1
img00553,1,1,1,1,1,0,1,right,standard,1
img00554,1,1,1,1,1,0,1,right,standard,1
img00555,1,1,1,1,1,1,0,left,standard,1
