name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source
Local1-7,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-8,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-9,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-10,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-11,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-12,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-13,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-14,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-15,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-16,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-17,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-18,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-19,0,1,1,0,1,1,1,0,left,standard,mshf
Local1-20,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-21,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-22,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-23,1,1,1,1,0,1,1,0,left,standard,mshf
Local1-24,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-25,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-26,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-27,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-28,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-29,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-30,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-31,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-32,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-33,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-34,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-35,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-36,1,1,0,0,1,0,0,1,right,standard,mshf
Local1-37,1,1,0,1,1,1,1,0,left,standard,mshf
Local1-38,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-39,0,1,1,0,1,1,0,1,right,standard,mshf
Local1-40,1,1,0,0,1,1,0,1,right,standard,mshf
Local1-41,1,1,1,0,1,1,0,1,right,standard,mshf
Local1-42,1,1,1,0,1,1,0,1,right,standard,mshf
Local1-43,1,1,1,0,1,1,0,1,right,standard,mshf
Local1-44,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-45,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-46,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-47,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-48,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-49,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-50,0,1,1,1,1,0,0,1,right,standard,mshf
Local1-51,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-52,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-53,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-54,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-55,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-56,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-57,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-58,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-59,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-60,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-61,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-62,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-63,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-64,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-65,0,1,1,0,1,0,0,1,right,standard,mshf
Local1-66,0,1,0,0,1,0,0,1,right,standard,mshf
Local1-67,0,0,1,0,1,0,1,0,left,standard,mshf
Local1-68,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-69,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-70,0,1,1,1,1,0,0,1,right,standard,mshf
Local1-71,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-72,0,1,1,0,1,0,1,0,left,standard,mshf
Local1-73,0,1,1,0,1,1,1,0,left,standard,mshf
Local1-74,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-75,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-76,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-77,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-78,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-79,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-80,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-81,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-82,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-83,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-84,0,1,1,0,1,0,1,0,left,standard,mshf
Local1-85,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-86,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-87,0,1,1,1,1,0,0,1,right,standard,mshf
Local1-88,0,1,1,1,1,0,0,1,right,standard,mshf
Local1-89,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-90,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-91,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-92,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-93,0,1,1,1,1,0,0,1,right,standard,mshf
Local1-94,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-95,0,0,1,1,1,0,1,0,left,standard,mshf
Local1-96,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-97,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-98,0,1,1,0,1,0,1,0,left,standard,mshf
Local1-99,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-100,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-101,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-102,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-103,0,1,0,0,1,0,0,1,right,standard,mshf
Local1-104,0,1,0,0,1,0,0,1,right,standard,mshf
Local1-105,0,1,1,0,1,0,1,0,left,standard,mshf
Local1-106,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-107,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-108,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-109,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-110,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-111,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-112,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-113,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-114,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-115,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-116,0,0,1,1,1,0,1,0,left,standard,mshf
Local1-117,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-118,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-119,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-120,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-121,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-122,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-123,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-124,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-125,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-126,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-127,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-128,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-129,0,1,1,0,1,0,1,0,left,standard,mshf
Local1-130,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-131,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-132,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-133,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-134,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-135,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-136,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-137,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-138,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-139,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-140,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-141,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-142,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-143,1,1,0,1,1,0,1,0,left,standard,mshf
Local1-144,1,1,0,1,1,0,0,1,right,standard,mshf
Local1-145,1,1,0,1,1,0,1,0,left,standard,mshf
Local1-146,1,0,0,1,1,0,0,1,right,standard,mshf
Local1-147,0,1,0,0,1,0,0,1,right,standard,mshf
Local1-148,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-149,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-150,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-151,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-152,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-153,1,1,0,1,1,0,0,1,right,standard,mshf
Local1-154,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-155,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-156,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-157,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-158,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-159,1,0,0,1,1,0,1,0,left,standard,mshf
Local1-160,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-161,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-162,0,1,1,1,1,0,1,0,left,standard,mshf
Local1-163,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-164,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-165,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-166,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-167,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-168,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-169,0,0,1,1,1,0,1,0,left,standard,mshf
Local1-170,1,0,0,1,1,0,1,0,left,standard,mshf
Local1-171,1,0,0,0,1,0,1,0,left,standard,mshf
Local1-172,0,0,0,1,1,0,1,0,left,standard,mshf
Local1-173,0,1,0,1,1,0,1,0,left,standard,mshf
Local1-174,1,1,0,0,1,0,0,1,right,standard,mshf
Local1-175,1,0,0,0,1,0,0,1,right,standard,mshf
Local1-176,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-177,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-178,1,1,0,1,1,1,1,0,left,standard,mshf
Local1-179,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-180,0,1,0,0,1,0,1,0,left,standard,mshf
Local1-181,0,0,0,0,1,0,1,0,left,standard,mshf
Local1-182,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-183,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-184,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-185,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-186,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-187,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-188,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-189,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-190,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-191,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-192,1,1,1,0,1,1,0,1,right,standard,mshf
Local1-193,0,0,1,0,1,0,0,1,right,standard,mshf
Local1-194,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-195,0,0,1,1,1,0,0,1,right,standard,mshf
Local1-196,1,1,0,1,1,1,0,1,right,standard,mshf
Local1-197,0,0,0,1,1,0,0,1,right,standard,mshf
Local1-198,0,0,0,0,1,0,0,1,right,standard,mshf
Local1-199,0,1,0,0,1,0,1,0,left,standard,mshf
Local2-1,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-2,0,1,1,1,1,1,1,0,left,standard,mshf
Local2-3,0,1,1,1,1,1,1,0,left,standard,mshf
Local2-4,0,1,1,1,1,0,0,1,right,standard,mshf
Local2-5,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-6,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-7,0,1,1,1,1,1,1,0,left,standard,mshf
Local2-8,1,1,0,1,1,0,1,0,left,standard,mshf
Local2-9,1,1,1,1,1,1,0,1,right,standard,mshf
Local2-10,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-11,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-12,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-13,1,1,0,1,1,1,0,1,right,standard,mshf
Local2-14,1,1,0,1,1,1,0,1,right,standard,mshf
Local2-15,0,1,0,1,1,1,0,1,right,standard,mshf
Local2-16,0,1,1,1,1,1,1,0,left,standard,mshf
Local2-17,0,1,1,1,1,1,1,0,left,standard,mshf
Local2-18,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-19,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-20,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-21,1,1,1,1,1,1,0,1,right,standard,mshf
Local2-22,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-23,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-24,0,1,1,1,1,1,1,0,left,standard,mshf
Local2-25,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-26,1,1,1,1,1,1,0,1,right,standard,mshf
Local2-27,0,1,1,1,1,1,0,1,right,standard,mshf
Local2-28,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-29,0,1,0,1,1,1,0,1,right,standard,mshf
Local2-30,1,1,1,1,1,1,1,0,left,standard,mshf
Local2-31,0,0,0,1,1,0,0,1,right,standard,mshf
Local2-32,0,0,0,1,1,0,0,1,right,standard,mshf
Local2-33,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-34,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-35,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-36,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-37,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-38,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-39,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-40,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-41,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-42,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-43,0,0,0,1,0,0,1,0,left,standard,mshf
Local2-44,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-45,0,1,0,1,1,0,1,0,left,standard,mshf
Local2-46,0,1,0,1,1,0,0,1,right,standard,mshf
Local2-47,0,0,0,1,1,0,0,1,right,standard,mshf
Local2-48,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-49,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-50,0,1,1,1,0,0,0,1,right,standard,mshf
Local2-51,0,0,0,0,0,0,0,1,right,standard,mshf
Local2-52,0,0,0,0,0,0,0,1,right,standard,mshf
Local2-53,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-54,0,1,0,1,1,0,0,1,right,standard,mshf
Local2-55,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-56,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-57,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-58,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-59,0,1,1,1,0,0,0,1,right,standard,mshf
Local2-60,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-61,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-62,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-63,0,0,0,1,1,0,0,1,right,standard,mshf
Local2-64,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-65,0,1,1,1,1,0,0,1,right,standard,mshf
Local2-66,0,1,0,1,1,0,0,1,right,standard,mshf
Local2-67,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-68,1,0,0,1,1,0,1,0,left,standard,mshf
Local2-69,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-70,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-71,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-72,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-73,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-74,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-75,1,0,0,1,1,0,1,0,left,standard,mshf
Local2-76,1,0,0,1,1,0,1,0,left,standard,mshf
Local2-77,1,0,0,1,0,0,1,0,left,standard,mshf
Local2-78,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-79,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-80,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-81,1,1,1,1,1,0,1,0,left,standard,mshf
Local2-82,0,1,1,1,1,0,1,0,left,standard,mshf
Local2-83,1,0,0,1,1,0,1,0,left,standard,mshf
Local2-84,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-85,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-86,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-87,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-88,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-89,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-90,1,0,0,1,1,0,1,0,left,standard,mshf
Local2-91,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-92,0,1,0,1,1,0,1,0,left,standard,mshf
Local2-93,0,0,0,1,1,0,0,1,right,standard,mshf
Local2-94,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-95,0,0,0,1,1,0,0,1,right,standard,mshf
Local2-96,0,1,0,1,0,0,0,1,right,standard,mshf
Local2-97,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-98,0,0,0,1,1,0,1,0,left,standard,mshf
Local2-99,1,1,1,1,1,0,1,0,left,standard,mshf
Local2-100,1,1,1,1,1,0,1,0,left,standard,mshf
Local2-101,1,0,0,1,0,0,0,1,right,standard,mshf
Local2-102,0,0,0,1,0,0,0,1,right,standard,mshf
Local2-103,0,0,0,1,0,0,0,1,right,standard,mshf
UWF-mosaic-1,1,1,0,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-2,0,1,0,1,1,0,1,0,left,ultrawidefield,mshf
UWF-mosaic-3,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-4,0,1,0,1,1,0,1,0,left,ultrawidefield,mshf
UWF-mosaic-5,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-6,0,1,0,1,1,0,1,0,left,ultrawidefield,mshf
UWF-mosaic-7,0,1,0,0,1,0,1,0,left,ultrawidefield,mshf
UWF-mosaic-8,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-9,0,1,0,1,1,0,0,1,right,ultrawidefield,mshf
UWF-mosaic-10,1,1,0,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-11,1,1,0,1,1,0,0,1,right,ultrawidefield,mshf
UWF-mosaic-12,1,1,0,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-13,1,1,0,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-14,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-15,1,1,0,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-16,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-17,1,1,0,1,1,0,0,1,right,ultrawidefield,mshf
UWF-mosaic-18,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-19,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-20,1,1,1,0,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-21,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-22,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-23,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-24,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-25,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-26,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-27,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-28,1,1,1,0,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-29,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-30,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-31,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-32,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-33,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-34,1,1,0,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-35,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-36,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-37,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-38,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-39,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-40,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-41,0,0,0,1,1,0,1,0,left,ultrawidefield,mshf
UWF-mosaic-42,1,1,0,0,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-43,1,1,0,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-44,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
UWF-mosaic-45,1,1,1,1,1,1,0,1,right,ultrawidefield,mshf
UWF-mosaic-46,0,1,1,0,1,0,1,0,left,ultrawidefield,mshf
UWF-mosaic-47,1,1,1,1,1,1,1,0,left,ultrawidefield,mshf
